datetime,A,B,C,D,E,F,G,H,I,J
10/05/2018 0:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/05/2018 0:00,7.00,7.00,7.00,4.90,4.90,7.00,4.90,4.90,4.90,4.30
30/05/2018 0:00,0.00,0.00,4.11,0.00,0.00,0.00,0.00,0.00,4.33,0.00
06/06/2018 0:00,5.00,5.00,10.00,6.24,5.00,5.00,7.44,5.00,5.00,4.33
13/06/2018 0:00,5.95,6.00,11.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20/06/2018 0:00,6.59,6.56,9.89,6.80,6.67,6.67,6.67,9.89,9.89,11.56
27/06/2018 0:00,6.51,6.56,6.56,6.32,6.44,6.44,6.44,6.56,6.56,5.78
04/07/2018 0:00,0.00,0.00,6.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/07/2018 0:50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18/07/2018 0:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25/07/2018 0:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31/07/2018 0:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
