datetime,A,B,C,D,E,F,G,H,I,J
10/05/2017 0:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
23/05/2018 0:00,-0.75,-0.75,-0.94,-0.73,-0.71,-0.79,-0.63,-0.65,-0.64,-0.68
30/05/2018 0:00,-0.51,-0.56,-0.75,-0.57,-0.55,-0.50,-0.51,-0.54,-0.61,-0.53
06/06/2018 0:00,-0.72,-0.73,-0.90,-0.69,-0.69,-0.72,-0.85,-0.68,-0.77,-0.70
13/06/2018 0:00,-0.79,-0.72,-1.00,-0.54,-0.50,-0.49,-0.49,-0.49,-0.52,-0.53
20/06/2018 0:00,-0.78,-0.87,-0.93,-0.88,-0.78,-0.80,-0.82,-0.95,-0.92,-1.05
27/06/2018 0:00,-0.88,-1.00,-1.13,-1.02,-0.98,-0.96,-0.97,-1.00,-0.99,-1.14
04/07/2018 0:00,-0.90,-1.06,-1.22,-0.88,-1.08,-0.83,-0.79,-0.79,-0.87,-0.92
11/07/2018 0:50,-0.86,-0.85,-1.13,-0.79,-0.81,-0.75,-0.71,-0.69,-0.87,-1.06
18/07/2018 0:00,-1.00,-1.04,-1.16,-0.93,-0.96,-0.87,-0.82,-0.86,-0.93,-1.10
25/07/2018 0:00,-0.97,-1.06,-1.21,-1.04,-1.02,-0.95,-1.06,-1.08,-1.15,-1.23
31/07/2018 0:00,-1.03,-1.04,-1.28,-0.74,-0.83,-0.75,-0.76,-0.88,-0.90,-1.10
