Sensor,A_SWP_1,A_SWP_2,A_SWP_3,B_SWP_1,B_SWP_2,B_SWP_3,C_SWP_2,C_SWP_3,D_SWP_1,D_SWP_2,D_SWP_3,E_SWP_1,E_SWP_3,F_SWP_1,F_SWP_2,F_SWP_3,G_SWP_1,H_SWP_1,H_SWP_2,H_SWP_3,I_SWP_1,I_SWP_3,J_SWP_2,J_SWP_3
23/05/2018 0:00,-0.749,-0.741,-0.7645,-0.72,-0.7605,-0.7735,-0.954,-0.8295,-0.749,-0.766,-0.675,-0.676,-0.75,-1.0165,-0.719,-0.6375,-0.656,-0.5755,-0.5585,-0.8225,-0.581,-0.69,-0.716,-0.795
30/05/2018 0:00,-0.4625,-0.52,-0.535,-0.595,-0.445,-0.6325,-0.75,-0.7125,-0.485,-0.605,-0.6225,-0.455,-0.615,-0.5325,-0.3625,-0.615,-0.43,-0.5025,,-0.5675,-0.68,-0.53,,-0.63
06/06/2018 0:00,-0.694,-0.7035,-0.7515,-0.719,-0.705,-0.7525,-1.0005,-0.882,-0.692,-0.7075,-0.671,-0.596,-0.721,-0.696,-0.817,-0.6425,-0.691,-0.7885,-0.6405,-0.6035,-0.895,-0.669,-0.7855,-0.6435
13/06/2018 0:00,-0.7575,-0.91,-0.7075,-0.6725,-0.8825,-0.61,-1.045,-0.8425,-0.71,-0.4895,-0.421,-0.525,-0.486,-0.5975,-0.446,-0.415,-0.4575,-0.46,-0.451,-0.5605,-0.58,-0.5035,-0.565,-0.634
20/06/2018 0:00,-0.74,-0.785,-0.815,-0.75,-0.91,-0.9525,-1.01,-0.925,-0.795,-0.93,-0.9455,-0.7325,-0.8285,-0.75,-0.875,-0.784,-0.7825,-0.952,-0.9715,-0.9135,-0.9785,-0.911,-1.19,-1.204
27/06/2018 0:00,-0.8575,-0.8325,-0.96,-1.035,-0.87,-1.0875,-1.1575,-1.165,-0.8875,-1.17,-1.005,-0.955,-1.0825,-0.915,-1.0625,-0.895,-1.005,-1.0675,-0.91,-1.0125,-1.12,-0.98,-1.11,-1.2525
04/07/2018 0:00,-0.8785,-0.8045,-1.0075,-0.9475,-1.0895,-1.153,-1.4055,-0.984,-0.847,-0.879,-0.9045,-0.949,-1.265,-0.748,-0.9055,-0.8415,-0.8,-0.8725,-0.7825,-0.71,-1.005,-0.825,-0.95,-0.99
11/07/2018 0:00,-0.8475,-0.925,-0.8125,-0.7775,-1,-0.7575,-1.22,-0.9075,-0.78,-0.8675,-0.725,-0.6,-0.865,-0.7375,-0.765,-0.735,-0.6875,-0.75,-0.76,-0.57,-1.0175,-0.845,-0.975,-1.15
18/07/2018 0:00,-1.105,-0.85,-1.04,-0.9775,-1.09,-1.0475,-1.215,-1.0275,-0.8725,-0.955,-0.95,-0.85,-0.985,-0.8925,-0.8375,-0.87,-0.73,-0.88,-0.805,-0.88,-1.115,-0.8725,-1.0925,-1.09
25/07/2018 0:00,-0.8475,-1.0575,-1.01,-1.0725,-1.1075,-0.9875,-1.365,-1.0725,-1.135,-0.97,-1.0175,-0.8975,-1.11,-0.82,-0.925,-1.105,-0.965,-1.085,-1.1125,-1.05,-1.13,-1.245,-1.305,-1.3675
31/07/2018 0:00,-0.9375,-1.1125,-1.0525,-1.045,-1.0575,-1.0075,-1.4125,-1.07,-0.855,-0.67,-0.7025,-0.8225,-0.775,-0.7825,-0.695,-0.775,-0.8125,-1.0325,-0.7775,-0.8175,-0.9425,-0.8775,-1.1025,-1.39
