sensor,aspect,slope,elevation,soil_depth
A1,241.42565,10.88385,687.37575,59.546494
A2,234.6636,12.949795,686.7996,59.872959
A3,244.4617,11.61317,686.3257,58.010678
B1,218.51745,10.1710155,688.96265,85
B2,227.816,12.280675,688.04905,77.916966
B3,227.5691,9.550092,687.8778,88.438075
C2,221.40875,11.09994,689.1167,56.515714
C3,235.32125,7.889166,688.61975,62.00945
D1,266.3611,10.316086,681.7136,52.623994
D2,270.7749,8.5468035,682.25135,58.855099
D3,291.17535,8.261862,681.49075,67.258356
E1,263.18715,10.068046,684.09805,60.46234
E3,282.54895,7.4324285,683.3338,66.572137
F1,253.50195,7.0085925,686.13935,106.40132
F2,264.028,5.87494,685.8217,109.787191
F3,263.7898,6.5114255,685.74265,110.198486
G1,269.84145,5.1772475,687.2987,76.783371
H1,297.1129,6.907926,683.29655,91.573047
H2,299.8649,7.4746225,683.49155,86.494156
H3,301.85155,7.9712295,683.5989,79.738527
I1,297.334,5.115259,685.4475,112.44112
I3,352.7584,6.7833395,685.96275,98.887478
J2,321.89425,5.8904475,686.99665,90.46773
J3,352.08735,9.415286,687.31265,79.235018
